driverId,name,ssn,location,certified,wage-plan
10,Samantha Myers,376-96-6111,"42075 Thomas Point
Sparksburgh, OR 93203",Y,miles
11,Aaron Miller,306-16-1136,"PSC 6883, Box 4616
APO AP 71702",Y,miles
12,Nicole Nolan,651-44-6149,"348 Renee Plains
Michaelfort, VT 08166",Y,hours
13,Teresa Hernandez,432-91-9707,"861 Nguyen Divide
Smithland, PA 38175",Y,miles
14,Douglas Hancock,106-36-8624,"PSC 5946, Box 8907
APO AE 63485",Y,hours
15,Steven Garrett,098-36-1598,"445 Sonya Drive Apt. 576
Finleytown, AR 31011",N,miles
16,Justin Thomas,861-49-8491,"607 Leblanc Crossroad Apt. 572
Brianborough, NJ 31591",N,hours
17,George Harris,231-82-6029,"29563 Julie Track Suite 085
Farrellmouth, SD 65114",N,hours
18,Felicia Mayer,510-23-9520,"51389 Alyssa Haven Apt. 698
Lake Paulside, DE 11640",N,miles
19,Desiree Harris,678-77-5448,"9920 Jared Forges Suite 569
Port Stephaniehaven, RI 01826",N,hours
20,Kimberly Leach,273-51-0499,"61016 Rhonda Estate Apt. 930
Jamiemouth, PW 99877",N,miles
21,Diane Martin,408-91-0516,"98603 Bradshaw Pass Apt. 832
East David, MP 62909",N,miles
22,George Johnson,816-80-3786,"8856 Gonzalez Locks Apt. 221
Coryfurt, MH 37463",N,hours
23,Christine Cain,726-11-2510,"017 Sandoval Springs
Travisfurt, PR 77348",Y,hours
24,Raven Chavez,087-86-4376,"56817 David Villages Apt. 045
Lake Kevin, NC 91200",N,hours
25,Becky Reyes,212-36-4288,"142 Young View
Lutzstad, AZ 58321",N,hours
26,Henry Moore,005-28-7971,"95439 Maldonado Falls
Chadtown, NV 37408",Y,miles
27,Gary Martin,128-14-6681,"97953 Pham Mission
New Staceyport, TN 38141",N,hours
28,Eric Coleman,031-18-8395,"21040 Karen Drive Apt. 658
West Morgan, ME 11904",N,miles
29,Sandra Nichols,093-47-8262,"353 Ashley Viaduct Apt. 418
Lake Amanda, MT 18997",N,hours
30,Diana Martinez,642-73-9928,"320 Jonathan Drive Suite 983
West Steven, NE 05731",Y,miles
31,Ronald Mclean,700-58-2833,"801 Harris Port
Katherineview, VT 37301",Y,hours
32,Jennifer Castro,112-94-9679,"385 Rebecca Drives
Dylanborough, MS 88719",Y,miles
33,Walter Bradford,874-06-2196,"06151 Brown Knoll
Jonesbury, ND 99682",Y,hours
